正反同义标签,格式标签,否定式,肯定式
1,看我不,她自顶至趾，也比不上我徒弟的一根鸟毛，看上她，是她的光彩，可恨她不识抬举，犹要推三阻四，这还不说，如今倒好，竟然要我徒弟为她搭上性命，娘的臭皮，惹翻了我，看我不杀他一个血流尸横，鸡飞狗跳！,她自顶至趾，也比不上我徒弟的一根鸟毛，看上她，是她的光彩，可恨她不识抬举，犹要推三阻四，这还不说，如今倒好，竟然要我徒弟为她搭上性命，娘的臭皮，惹翻了我，看我杀他一个血流尸横，鸡飞狗跳！
1,好不a,赫连锤忆起那日惨败于二人之手，好不尴尬，招呼也不打，只顾低头狠吃；铁蛋不知世俗礼数，也斜著两只醉眼直在两人脸上转来转去，连帅芙蓉介绍的话也没能听清楚，只在喉咙里发出“唔唔唔”的声音。,赫连锤忆起那日惨败于二人之手，好尴尬，招呼也不打，只顾低头狠吃；铁蛋不知世俗礼数，也斜著两只醉眼直在两人脸上转来转去，连帅芙蓉介绍的话也没能听清楚，只在喉咙里发出“唔唔唔”的声音。
0,好不a,”灰衣汉子心知遇上了硬点，翻着白眼于，说道：“你老好不讲理，在下又没招惹你老……”祝文华道：“老夫行走江湖，眼里揉不进半粒砂子，朋友从磨子潭缀着老夫下来，准备去报讯是不是？,”灰衣汉子心知遇上了硬点，翻着白眼于，说道：“你老好讲理，在下又没招惹你老……”祝文华道：“老夫行走江湖，眼里揉不进半粒砂子，朋友从磨子潭缀着老夫下来，准备去报讯是不是？
0,难免不,平时没有削球手做对立面，比赛中难免不适应、不习惯。,平时没有削球手做对立面，比赛中难免适应、不习惯。
1,好不a,可是，山下的却是辉煌的灯火、升腾的烟花，好不热闹。走进饭堂，炒好的菜已冻在中，再看看身边低头不的战士，心头感慨万千！,可是，山下的却是辉煌的灯火、升腾的烟花，好热闹。走进饭堂，炒好的菜已冻在中，再看看身边低头不的战士，心头感慨万千！
1,差点没,芷芽在家里蹲了十天，吃了十四片干土司、七顿鸡蛋泡面及另外一顿＂面泡鸡蛋＂后，总算接一了一份快递，原来是那家＂运业＂来信通知她去面试，她兴奋得差点没去啃坏那封信！,芷芽在家里蹲了十天，吃了十四片干土司、七顿鸡蛋泡面及另外一顿＂面泡鸡蛋＂后，总算接一了一份快递，原来是那家＂运业＂来信通知她去面试，她兴奋得差点去啃坏那封信！
1,差点没,一次会车的时候，麦克曼纽斯差点没被饼噎死———在旁边的那辆车里，一位女士正歪着头，好像在跟邻座的情人热吻。,一次会车的时候，麦克曼纽斯差点被饼噎死———在旁边的那辆车里，一位女士正歪着头，好像在跟邻座的情人热吻。
1,差点没,他把屋子安排了一下，整理了一下，差点儿没置办东西。,他把屋子安排了一下，整理了一下，差点儿置办东西。
1,难免不,本人尽管于此小心，也难免不上其当。,本人尽管于此小心，也难免上其当。
0,几乎没,过了一会儿，才轻声细气，几乎没张开他那薄薄的嘴唇，好像是冲着烟斗说话似地开门道：“因为……是呀，因为这儿一下子出现了非常奇怪的流言，说是……所以，作为一个朋友，我觉得有义务把事情了解清楚。,过了一会儿，才轻声细气，几乎张开他那薄薄的嘴唇，好像是冲着烟斗说话似地开门道：“因为……是呀，因为这儿一下子出现了非常奇怪的流言，说是……所以，作为一个朋友，我觉得有义务把事情了解清楚。
